Application Number,,Type of tax credit funding,Project Name,Project Address,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type,Housing Type,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award,Total State Award,,,,,,
CA-2003-838,,4%,Castaic Lake Senior Apartments,"31978 Castaic Road, Castaic, CA 91384     ",Castaic,91384,661-295-9599,Los Angeles,38,21,25,9201.02,2865-036-034,Placed In Service,09/24/04,11/19/04,New Construction,Senior,150,149,0,16,134,0,0,0,0,,,,,,,,,,,"Castaic Senior Communities, L.P., A CA L.P.",Diane Swimmer,202 Seaward Lane,Corona Del Mar,CA,92625,949-640-2113,949-721-9451,"Castaic Senior Communities, LP",Santa Clarita Valley Committee on Aging Corp.,,,,FPI Management Inc.,Karen Murphy,800 Iron Point Road,Folsom,CA,95630,916-357-5300,916-357-5320,"Community Housing Dev. Group,Inc.","$540,865",$0,,,,,,
CA-1993-166,,9%,Claremont Villas Senior,"100 S. Indian Hill Blvd., Claremont, CA 91711     ",Claremont,91711,909-625-2424,Los Angeles,41,25,27,4020.02,,Extended,11/18/93,11/18/93,New Construction,Senior,154,153,0,143,11,0,0,0,0,,,,,,,,,,,"Monatiquot Village Associates, LP",Rima Edmonds,"1201 Third Avenue, Suite 5400",Seattle,WA,98101,206-926-6155,206-628-8031,"Security Properties, Inc.",,,,,"Madrona Ridge Residential, LLC",Rima Edmonds,1201 Thrid Avenue,Seattle,WA,98101,206-926-6155,,"Foundation for Affordable Housing, III","$1,045,847",$0,,,,,,
CA-1995-901,,4%,Vista Valle Townhomes,"670 West San Jose Avenue, Claremont, CA 91711     ",Claremont,91711,909-399-5978,Los Angeles,41,25,27,4020.01,,Extended,11/15/95,11/15/95,Acquisition/Rehab,Non Targeted,48,47,0,0,36,12,0,0,0,,,,,,,,,,,SJT Associates Ltd.,Gary Braverman,"4370 Tujunga Avenue, #310",Studio City,CA,91604,818-763-0810,818-508-8706,"Foundation For Quality Housing Opportunities, Inc.",,,,,Dangler Inc.,Gary Braverman,"4370 Tujunga Avenue, #310",Studio City,Ca,91604,818-763-0810,818-508-8706,Foundation for Quality Housing Opport.,"$154,895",$0,,,,,,
CA-2000-901,,4%,Claremont Village Apartments,"965 West Arrow Highway, Claremont, CA 91711     ",Claremont,91711,909-621-2810,Los Angeles,41,25,27,4020.01,6322-026-022,Placed In Service,11/30/01,11/30/01,Acquisition/Rehab,Large Family,150,149,0,0,96,54,0,0,0,,,,,,,,,,,"KDF Claremont, L.P., a CA LP",Heidi Bass,230 Newport Center Drive #210,Newport Beach,CA,92660,949-719-1888 x201,949-719-1897,AOF/Pacific Affordable Housing Corp. /KDF Holdings,,,,,VPM Management Inc.,Scott Barker,2400 Main Street Suite 201,Irvine,CA,92614,949-863-1500 x210,949-863-1801,,"$402,043",$0,,,,,,
CA-2010-095,,9%,Courier Place Apartments,"111 South College Avenue, Claremont, CA 91711     ",Claremont,91711,909-624-8589,Los Angeles,41,25,27,4020.02,"8313022001, 8313022800",Placed in Service,11/30/11,12/21/11,New Construction,Large Family,76,75,0,40,12,24,0,0,0,,,,,,,,,,,"Claremont Village Housing Partners, LP",Mary Jo Goelzer,"17701 Cowan Ave., Suite 200",Irvine,CA,92614,949-263-8676,949-263-0647,"JHC-Claremont Village, LLC",,,,,The John Stewart Company,Judy Cunningham,"888 Figueroa St., Suite 700",Los Angeles,CA,90017,213-833-1860,213-833-1866,Jamboree Housing Corporation,"$1,592,333",$0,,,,,,
CA-2018-721,,4%,Claremont Village Apartments,"965 West Arrow Highway, Claremont, CA 91711",Claremont,91711,,Los Angeles,27,41,25,4020.01,8313-003-087,Preliminary Reservation,,,Acquisition/Rehabilitation,Non-Targeted,150,149,0,0,96,54,0,0,0,0,0,0,0,0,55,0,94,0,0,Claremont Village Venture LP,Cathy Coler,2711 N. Sepulveda Blvd #526,Manhattan Beach,CA,90266,4249994580,3236945242,Claremont Village DE GP LLC,AOF Claremont LLC,,,,Apartment Management Company,Greg Wiseman,"1954 Fort Union Blvd, Suite 400",Cottonwood Heights,UT,84121,8015657430,,MRK Partners,"$2,364,557",,,,,,,
CA-1999-881,,4%,Rosewood Park Senior Apts,"2230 S. Eastern Avenue, Commerce, CA 90040     ",Commerce,90040,323.722.4397,Los Angeles,58,32,40,5323.03,6335-029-019,Placed In Service,12/01/99,12/01/99,Acquisition/Rehab,Senior,94,93,,73,21,,,,,,,,,,,,,,,"Rosewood Senior Apartments, L.P.",Ron Orgel,"645 Madison Avenue, 5th Floor",New York,NY,10022,2127071999,2122079017,"PRG SF Valley GP, LLC",,,,,Western Seniors Housing,,"17748 Sky Park Circle, Suite 225",Irvine,CA,92614,9497488220,9497488200,"Commerce Senior Partners, L.P.","$202,552",$0,,,,,,
CA-1992-150,,9%,Curry Senior Apts. (AKA - Edward Lynn Brown),"1001 N Hickory Ave., Compton, CA 90220     ",Compton,90220,310-886-5321,Los Angeles,64,35,44,5426.02,,Extended,10/27/94,10/27/94,New Construction,Senior,48,48,0,0,0,0,0,0,0,,,,,,,,,,,Curry Temple Senior Apartments,John E. Brown,"6100 Center Dr,",Los Angeles,CA,90045,310-568-8500,310-568-1021,Harambee Economic and Community Development Corpor,,,,,TMC Management,John Allen,"10124 S. Broadway, Suite 200",Los Angeles,CA,90003,323-777-7783,323-777-0720,Curry Temple Community Development Corp.,"$355,184",$0,,,,,,
CA-1996-084,,9%,Segundo Terrace aka El Segundo,"2242 E. El Segundo Blvd., Compton, CA 90222     ",Compton,90222,323-734-2111,Los Angeles,64,35,44,5414,,Placed In Service,06/09/98,06/09/98,New Construction,Large Family,25,25,0,0,0,13,12,0,0,,,,,,,,,,,"Segundo Terrace, LP",Carolina Romo,700 W. Main Street,Alhambra,CA,91801,626-586-1824,626-943-3816,APH Corporation,,,,,"Levine Management Group, Inc.",Allan Kokin,"822 S. Robertson Blvd., Suite 200",Los Angeles,CA,90035,310-358-3489,310-358-3494,Los Angeles County HA,"$307,807",$0,,,,,,
CA-2001-845,,4%,Compton Garden,"4243 E. Alondra Blvd., Compton, CA 90221     ",Compton,90221,310 367 9876,Los Angeles,64,35,44,5421.06,6181-023-031.03,Placed In Service,08/14/02,08/14/02,New Construction,Senior,18,18,0,0,0,16,2,0,0,,,,,,,,,,,Compton Garden Limited Partnership,Ken Robertson,3803 E. Casselle Avenue,Orange,CA,92869,714 628 1654,714 628 1657,Riverside Charitable Corporation,,,,,"Professional Property Management, LLC","Gerald Walters, Jr.","973 Featherstone Road, Suite 300",Rockford,IL,61107,815 397 3755,815 397 3931,,"$110,095",$0,,,,,,
CA-2004-878,,4%,Douglas Park Apartments (Site A),"145 W. Rosecrans Avenue, Compton, CA 90222",Compton,90222,310-603-1944,Los Angeles,64,35,44,5426.01,"6153-025-045, 048",Placed In Service,01/15/05,01/15/05,Acquisition/Rehab,Non Targeted,72,71,0,0,60,12,0,0,0,,,,,,,,,,,"Batteries Included, L.P., a CA LP",Scott Williams,6265 Variel Avenue,Woodland Hills,CA,91367,818-789-5550,818-461-0362,Scottcorp / Housing Corporation of America,Housing Corporaion of America,,,,Ironwood Management,Tamara Lomino,6265 Variel Avenue,Woodland Hills,CA,91367,818-789-5550,818-583-1778,,"$189,870",$0,,,,,,
CA-2004-878,,,Douglas Park Apartments (Site B),"1225 N. Culver Avenue, Compton, CA 90222",Compton,90222,310-603-1944,Los Angeles,64,35,44,5426.01,,,,,Acquisition/Rehab,Non Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2004-895,,4%,Lutheran Gardens Apartments,"2431 El Segundo Boulevard, Compton, CA 90222     ",Compton,90222,(310) 638-7819,Los Angeles,64,35,44,5415,6154-002-032,Placed In Service,12/01/05,08/10/06,Acquisition/Rehab,Large Family,76,75,0,12,36,22,6,0,0,,,,,,,,,,,"Lutheran Gardens, L.P., a CA L.P.",Chris Kolbenschlag,"1101 E Orangewood, Suite 200",Anaheim,CA,92805,(714) 533-3450,(714) 533-8608,Lutheran Gardens Corporation,,,,,Barker Management Incorporated,Linda Edwards,"1101 E. Orangewood, Suite 200",Anaheim,CA,92805,(714) 533-3450,(714) 533-8608,Lutheran Gardens Corp.,"$260,907",$0,,,,,,
CA-2005-001,,9%,Willow Apartments,"12612 S. Wilmington Avenue, Compton, CA 90222     ",Compton,90222,3106351557,Los Angeles,64,35,44,5413,6152-001-001/02,Placed In Service,02/21/07,02/21/07,New Construction,Special Needs,24,23,8,6,10,0,0,0,0,,,,,,,,,,,"Willowbrook Place, L.P.",Dora Leong Gallo,"3701 Wilshire Blvd., Suite 700",Los Angeles,CA,90010,2134800809,2133681171,A Community of Friends,,,,,Barker Management Incorporated,Peter Barker,"1101 E. Orangewood Avenue, Suite 200",Anaheim,CA,92805,7145333450,7145338608,A Community of Friends,"$394,921",$0,,,,,,
CA-2009-195,,9%,Seasons at Compton,"15810 S. Frailey Ave., Compton, CA 90221     ",Compton,90221,310-608-7800,Los Angeles,64,35,44,5421.06,"6181-032-040,052",Placed in Service,06/30/11,08/31/11,New Construction,Senior,84,83,0,68,16,0,0,0,0,,,,,,,,,,,"Compton Senior Housing, L.P.",Tammy Smith,"110 Pine Avenue, Suite 500",Long Beach,CA,90802,562-684-11116,562-435-1054,"LINC-Compton Senior Apartments, LLC",,,,,The John Stewart Company,Henrietta Rice,888 S. Figueora St. #700,Los Angeles,CA,90017,213-787-2700,213-833-1866,LINC Housing Corp,"$1,318,793",$0,,,,,,
CA-2012-229,,9%,Warwick Terrace,"14921 Stanford Avenue, Compton, CA 90220",Compton,90220,3105157215,Los Angeles,64,35,44,5411,6137-004-063,Placed In Service,12/31/13,12/31/13,Acquisition/Rehabilitation,Large Family,108,102,0,20,52,36,0,0,0,,11,0,31,0,31,0,29,,,"Warwick Partners, LP",Courtney Allen,"1635 Rosecrans Street, Suite C",San Diego,CA,92106,6197942200,6197942202,"Omega Stone, LLC",Affordable Housing Solutions,,,,Alpha Property Management,Adam Cutler,1755 E Martin Luther King Jr.,Los Angeles,CA,90058,3232314174,,The Treadstone Companies,"$1,315,493",,,,,,,
CA-2012-902,,4%,Logan's Plaza,"2019 E 122nd Street, Compton, CA 90222",Compton,90222,,Los Angeles,64,35,44,5406,6150-006-034,Placed In Service,10/01/13,10/01/13,Acquisition/Rehabilitation,Seniors,61,60,1,56,4,0,0,0,0,,0,1,0,0,20,0,39,,,"Logans Plaza, LLC",Naima Greffon,10950 South Central Avenue,Los Angeles,CA,90059,3235635654,,"Logans Plaza, LLC",,,,,"Barker Management, Incorporated",Peter Barker,PO Box 148,Anaheim,CA,92805,7145333450,7145338608,"WLCAC at VH, LLC","$390,554",,,,,,,
CA-2012-911,,4%,Park Village Apartments,"708 West Corregidor, Compton, CA 90220",Compton,90220,3106316181,Los Angeles,64,31,44,5425.01,,Placed In Service,01/26/14,09/26/14,Acquisition/Rehabilitation,Large Family,164,164,0,16,35,61,52,0,0,,0,0,0,0,17,0,147,,,ROEM Development Corporation,Jonathan Emami,1650 Lafayette Street,Santa Clara,CA,95050,4089845600,4089843111,,Pacific Housing Inc,,,,FPI Management Inc.,Maureen Picarella,800 Iron Point Road,Rolsom,CA,95630,(916) 357-5300,(916) 358-7228,ROEM Development Corporation,"$1,122,076",$0,,,,,,
CA-2013-062,,9%,Compton Senior Apartments,"302 N. Tamarind Avenue, Compton, CA 90220",Compton,90220,3106354000,Los Angeles,64,36,44,5426.02,"6166-010-901, 6166-010-902, 6166-010-903, 6166-010",Placed In Service,12/24/14,12/24/14,New Construction,Seniors,75,74,0,60,15,0,0,0,0,,8,0,8,8,50,0,0,,,"Compton Senior Apartments, LP",Tim Soule,1640 South Sepulveda Blvd. #425,Los Angeles,CA,90025,3105753543,3105753563,"Compton Senior Apartments, LLC","WCH Affordable II, LLC",,,,Western Seniors Housing,Anthony Sandoval,"17748 Sky Park Circle, #225",Irvine,CA,92614,9497488202,9497488220,Meta Housing Corporation,"$924,724",,,,,,,
CA-2013-877,,4%,Ramona Estates,"1929 E. 122nd Street, Compton, CA 90222",Compton,90222,,Los Angeles,64,36,44,5406.00,,Placed In Service,05/31/14,05/31/14,Acquisition/Rehabilitation,Seniors,60,59,0,60,0,0,0,0,0,,0,0,0,0,18,0,41,,,"WLCAC Ramona Estates, LP",Naima Greffon,10950 South Central Avenue,Los Angeles,CA,90059,3235635654,,"WLCAC Ramona Estates, LLC",,,,,"Barker Management, Incorporated",,1101 E Orangewood Ave. 2nd Floor,Anaheim,CA,92815,714-533-3450,714-533-8608,"Watts Labor Community Action Committee, Lutheran Gardens Corporation","$386,938",$0,,,,,,
CA-2015-031,,9%,Mosaic Gardens at Willowbrook,"12701 S. Willowbrook Ave., Compton, CA 90222",Compton,90222,,Los Angeles,64,35,44,5414.00,"6152-003-008, 6152-003-906, 6152-003-908 and 6152-",Preliminary Reservation,,,New Construction,Special Needs,61,60,0,37,11,13,0,0,0,,31,0,0,0,24,0,5,,,"LINC-Willowbrook Apartments, LP",Suny Lay Chang,"555 E. Ocean Blvd., Suite 900",Long Beach,CA,90802,5626841108,5626841137,LINC Community Development Corporation,,,,,The John Stewart Company,Lori Horn,"888 S. Figueroa St., Suite 700",Los Angeles,CA,90017,2137872710,2138331866,LINC Housing Corporation,"$837,327","$2,508,479",,,,,,
CA-2015-809,,4%,St. Timothy's Tower and St. Timothy's Manor,"425 South Oleander Ave., Compton, CA 90220",Compton,90220,,Los Angeles,64,35,44,5425.02,6161-021-012  6161-021-011,Preliminary Reservation,,,Acquisition/Rehabilitation,Seniors,135,133,109,26,0,0,0,0,0,,0,0,0,0,55,0,78,,,St. Timothy's Preservation LP,Ron Chatman,425 South Oleander Avenue,Compton,CA,90020,3239790863,,"St. Timothy's Tower and Manor, Inc.",,,,,"Solari Enterprises, Inc.",Gianna Solari,1507 W. Yale Avenue,Orange,CA,92867,7142822520,7142822517,"BlueGreen Preservation and Development, LLC","$744,670",,,,,,,
CA-2017-750,,4%,E. Boyd Esters Manor,"1101 N Central Ave, Compton, CA 90220",Compton,90220,,Los Angeles,64,35,44,5412.00,6134-020-072 and 6134-020-073,Preliminary Reservation,,,Acquisition/Rehabilitation,Special Needs,50,49,12,37,0,0,0,0,0,,0,0,0,0,20,0,29,,,"Southeast Senior Housing Preservation, L.P.",Delores Zurita,"500 S. Grand Ave, 22nd Floor",Los Angeles,CA,90071,3106899925,,"Rosecrans Manor, a California Nonprofit Corporation",,,,,"Monfric, Inc.",John Grady,1915 Morena Blvd,San Diego,CA,92110,6192766271,,Rosecrans Manor,"$383,031",,,,,,,
CA-2018-653,,4%,Whitfield Manor,"12600 S. Compton Ave., Compton, CA 90222",Compton,90222,,Los Angeles,64,35,44,5408.00,6147-016-036 and 037,Preliminary Reservation,,,Acquisition/Rehabilitation,Non-Targeted,46,45,0,18,10,18,0,0,0,0,0,0,0,0,10,0,35,0,0,"Whitfield Manor II, LP",Naima Greffon,10950 S. Central Ave.,Los Angeles,CA,90059,,,"WLCAC Whitfield Manor, LLC",,,,,Barker Management Inc.,Peter Barker,1101 E. Orangewood Ave.,Anaheim,CA,92805,7145333450,,Watts Labor Community Action Committee,"$479,334",,,,,,,
CA-2002-864,,4%,Cienega Gardens Apartments,"1211 Lyman Avenue, Covina, CA 91724     ",Covina,91724,626-331-8402,Los Angeles,48,22,32,4038.02,8401-015-021 & 8401-017-010,Placed In Service,10/10/02,10/10/02,Acquisition/Rehab,Large Family,180,178,0,72,48,60,0,0,0,,,,,,,,,,,Cienega Preservation Limited Partnership,William E. Szymczak,21515 Hawthorne Blvd.  Suite 125,Torrance,CA,90503,(310) 802-6670,310-802-6680,Cienega Preservation Partners LLC.,Cienega Preservation Partners LLC,,,,"Preservation Partners Management Group, INC",Nidia Vasquez,21515 Hawthorne Blvd.  Suite 125,Torrance,CA,90503,(310) 802-6675,310-802-6680,Preservation Partners Development,"$571,116",$0,,,,,,
CA-2008-899,,4%,Arrow Plaza,"20644 E. Arrow Highway, Covina, CA 91724     ",Covina,91724,626-332-0588,Los Angeles,48,22,32,4038.02,8401-010-018,Placed In Service,09/01/09,09/01/09,Acquisition/Rehab,Senior,64,63,0,64,0,0,0,0,0,,,,,,,,,,,"Arrow Plaza KBS, L.P.",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,801-819-7989,810-819-7888,Housing Corporation of America,"KBS Housing, LLC",,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,310-840-4888,310-207-6986,Thomas Safran & Associates,"$333,151",$0,,,,,,
CA-2017-808,,4%,Cienega Gardens Apartments,"1211 North Lyman Avenue, Covina, CA 91724",Covina,91724,,Los Angeles,48,22,32,4038.02,8407-017-010-16-000,Preliminary Reservation,,,Acquisition/Rehabilitation,Large Family,180,178,0,72,48,60,0,0,0,,0,0,0,0,65,0,113,,,Cienega Gardens Preservation Limited Partnership,William E. Szymczak,"21515 Hawthorne Blvd., Suite 150",Torrance,CA,90503,3108026670,,JHC-Cienega Gardens LLC,Cienega Gardens Preservation Partners LLC,,,,Preservation Partners Management Group,Meaghan Price,"21515 Hawthorne Blvd., Suite 390",Torrance,CA,90503,3108026670,,Jamboree Housing Corporation,"$2,471,108",,,,,,,
CA-1996-018,,9%,Elizabeth Court,"5225 Elizabeth Street, Cudahy, CA 90201     ",Cudahy,90201,661-325-0919,Los Angeles,63,33,40,5343.02,,EXTENDED,03/26/97,03/26/97,,Large Family,26,25,0,0,8,18,0,0,0,,,,,,,,,,,"Elizabeth West and East, LP",Lori Koester,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-2440,Corporation for Better Housing,,,,,"CBH Property Management, LLC.",Joanna Ascencio,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-3844,Elizabeth West/East LP,"$92,216",$0,,,,,,
CA-1997-514,,4%,Clara Court,"5159 Clara Street, Cudahy, CA 90201     ",Cudahy,90201,661-325-0919,Los Angeles,63,33,40,5344.06,6226-019-001,EXTENDED,09/30/98,09/30/98,New Construction,Senior,36,35,0,36,0,0,0,0,,,,,,,,,,,,"5159 Clara Court, LP",Lori Koester,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-2440,Corporation for Better Housing,,,,,"CBH Property Management, LLC.",Joanna Ascencio,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-3844,,"$246,183",$0,,,,,,
CA-1999-175,,9%,Live Oaks Garden,"5203 Live Oak Street, Cudahy, CA 90201     ",Cudahy,90201,661-325-0919,Los Angeles,63,33,40,5344.06,,Placed In Service,08/31/00,08/31/00,New Construction,Large Family,40,32,0,5,14,13,0,0,0,,,,,,,,,,,"5203 Live Oak, L.P.",Lori Koester,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-2440,Corporation for Better Housing,,,,,"CBH Property Management, LLC.",Joanna Ascencio,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-3844,,"$436,755",$0,,,,,,
CA-2005-862,,4%,Clara Park Commons,"4805 Clara Street, Cudahy, CA 90201     ",Cudahy,90201,323-560-7628,Los Angeles,63,33,40,5344.05,6226-020-037,Placed In Service,08/31/06,08/31/06,Acquisition/Rehab,Senior,50,49,13,36,1,0,0,0,0,,,,,,,,,,,Clara Park Village Apartments LP,Steve Bodkin,2335  North Bank Drive,Columbus,OH,43220,614-451-2151,614-273-2154,"National Church Residences of Clara Park Commons,",,,,,National Church Residences,Steve Bodkin,2335 North Bank Drived,Columbus,OH,43220,614-451-2151,614-273-2154,National Church Residences,"$155,425",$0,,,,,,
CA-2014-863,,4%,Las Brisas Apartments,"4339 Elizabeth Street , Cudahy, CA, 90201",Cudahy,90201,323-652-1777,Los Angeles,63,33,40,5344.04,6225-028-029,Placed In Service,05/29/15,05/29/15,Acquisition/Rehabilitation,Non-Targeted,100,99,0,12,80,8,0,0,0,,0,0,0,0,20,0,79,,,ISG Las Brisas L.P.,Denny Hou,"One Embarcadero Center, Suite 500",San Francisco,CA,94111,6508987081,4152769364,ISG Development LLC,National Housing Corporation,,,,Hyder Property Management Professionals,Gary Da Prato,"1649 Capalina Road, Suite 500",San Marcos,CA,92069,7605919737,7605919784,ISG Development LLC,"$530,777",,,,,,,
CA-2011-047,,9%,Tilden Terrace,"11042 Washington Blvd, Culver City, CA 90232     ",Culver City,90232,3108361300,Los Angeles,54,30,37,7028.01,"4213-007-001, 4213-007-901, 4213-007-900",Placed in Service,06/27/13,06/27/13,New Construction,Large Family,32,20,0,2,19,12,0,0,0,,4,0,10,0,6,0,0,,,"Tilden Terrace, L.P.",Denice Wint,"800 South Figueroa, Suite 1270",Los Angeles,CA,90017,2136299172,2136299179,"Los Angeles Housing Partnership, Inc.",,,,,The John Stewart Company and Los Angeles Housing P,Lori Horn,"888 S.Figueroa Street, Suite 700",Los Angeles,CA,90017,213-787-2710,213-833-1866,Los Angeles Housing Partnership,"$700,020",$0,,,,,,
CA-2016-973,,4%,Culver City Rotary Plaza,"1092 Orcutt Road, Culver City, CA 90230",Culver City,90230,,Los Angeles,54,30,37,7025.02,4209-028-035,Preliminary Reservation,,,Acquisition/Rehabilitation,Seniors,100,99,25,74,0,0,0,0,0,,0,0,0,0,52,0,47,,,"CULVER CITY HOUSING PARTNERS, LP",Anders Plett,911 North Studebaker Road,Long Beach,CA,90815,5622575309,5624937042,"Culver City Housing, LLC",,,,,Foundation Property Management,Stuart Hartman,911 N. Studebaker Road,Long Beach,CA,90815,5622575109,5624937042,Retirement Housing Foundation,"$1,242,207",,,,,,,
CA-1999-031,,9%,Downey Senior Apartments,"8133 Third Street, Downey, CA 90241     ",Downey,90241,562-861-5420,Los Angeles,58,32,40,5509.01,6254-004-003,Placed In Service,03/29/01,03/29/01,New Construction,Senior,31,29,0,23,7,0,0,0,0,,,,,,,,,,,"Heritage Court Apartments, LP",Patrick Reyes,"701 E 3rd Street, Suite 400",Los Angeles,CA,90013,213-225-2756,213-225-2757,Abode Communities,,,,,Abode Communities,Luz Soto,"701 E 3rd Street, Suite 400",Los Angeles,CA,90013,213-225-2754,213-225-2755,,"$329,181",$0,,,,,,
CA-2001-859,,4%,Birchcrest Apartments,"8525 Paramount Blvd., Downey, CA 90240     ",Downey,90240,562-806-1555,Los Angeles,58,32,40,5506.01,6367-009-033,Placed In Service,09/01/01,09/01/01,Acquisition/Rehab,Non Targeted,64,62,0,10,35,17,0,0,0,,,,,,,,,,,Birchcrest Preservation Limited Partnership,Nidia Vasquez,21515 Hawthorne Blvd. Suite 125,Torrance,CA,90503-6514,310-802-6670,310-802-6680,William Szymczak,,,,,Alpha Property Management,Stephanie Silvia,1755 Martin Luther King Jr. Blvd.,Los Angeles,CA,90058,323-231-4174 ext.232,323-432-5243,Preservation Partners Development LP,"$144,171",$0,,,,,,
CA-2012-045,,9%,Downey: The View,"8314 2nd Street, Downey, CA 90241",Downey,90241,5626224480,Los Angeles,58,32,40,5509.01,6254-020-902/914,Placed In Service,12/03/14,12/03/14,New Construction,Large Family,50,49,0,0,35,15,0,0,0,,5,0,0,13,31,0,0,,,"Downey Housing Partners, L.P.",Richard J. Whittingham,"9065 Haven Avenue, Suite 100",Rancho Cucamonga,CA,91730,9094832444,9094832448,Southern California Housing Development Corporation LA,,,,,National Community Renaissance of California,,"9065 Haven Avenue, Suite 100",Rancho Cucamonga,CA,91730,(909) 483-2444,(909) 483-2448,National community Renaissance,"$888,792",,,,,,,
CA-1997-955,,4%,Heritage Park Sr. Apartments,"915 Highland Avenue, Duarte, CA 91010     ",Duarte,91010,626-357-5118,Los Angeles,48,25,32,4301.01,8530-010-042-1,EXTENDED,08/01/97,08/01/97,Acquisition/Rehab,Senior,120,118,0,48,72,0,0,0,,,,,,,,,,,,"915 Higland Avenue Partners, LP",Ron Juskiewicz,"17901 Von Karman Avenue, Suite 150",Irvine,CA,92614,949-269-4715,949-269-4701,"Avanath Duarte GP, LLC/COR Community Development Corporation",,,,,Western National Property Management,Nick Alicastro,8 Executive Circle,Irvine,CA,92614,949-862-6258,949-862-6490,,"$256,047",$0,,,,,,
